,Genes,Target_type
0,DGKG,gata4_indirect
1,COPB2,gata4_indirect
2,GPX3,gata4_indirect
3,DNAH2,gata4_indirect
4,TBX4,gata4_indirect
5,MGEA5,gata4_indirect
6,ARSB,gata4_indirect
7,TLN1,gata4_indirect
8,ITGA7,gata4_indirect
9,KDR,gata4_indirect
10,COL6A1,gata4_indirect
11,C3orf70,gata4_indirect
12,PCDHA7,gata4_indirect
13,OGFOD1,gata4_indirect
14,NPR3,gata4_indirect
15,IRGQ,gata4_indirect
16,TRAM2,gata4_indirect
17,RPS6KA2,gata4_indirect
18,LYPD6,gata4_indirect
19,PFDN1,gata4_indirect
20,DOT1L,gata4_indirect
21,ENC1,gata4_indirect
22,MYO6,gata4_indirect
23,C21orf7,gata4_indirect
24,SCUBE1,gata4_indirect
25,TBX18,gata4_indirect
26,CASP4,gata4_indirect
27,STMN2,gata4_indirect
28,YWHAZ,gata4_indirect
29,RCN1,gata4_indirect
30,ATPBD4,gata4_indirect
31,RTN4RL1,gata4_indirect
32,FHL1,gata4_indirect
33,FLT1,gata4_indirect
34,C9orf93,gata4_indirect
35,CHL1,gata4_indirect
36,MLF2,gata4_indirect
37,SV2C,gata4_indirect
38,RBP7,gata4_indirect
39,41885,gata4_indirect
40,CPM,gata4_indirect
41,STAT4,gata4_indirect
42,C20orf194,gata4_indirect
43,CARS,gata4_indirect
44,KHDRBS2,gata4_indirect
45,TMEM132B,gata4_indirect
46,BOK,gata4_indirect
47,FJX1,gata4_indirect
48,SETD7,gata4_indirect
49,ZIC1,gata4_indirect
50,ACSF2,gata4_indirect
51,CACNA2D2,gata4_indirect
52,MDGA2,gata4_indirect
53,NRG1,gata4_indirect
54,RASSF5,gata4_indirect
55,ARNTL2,gata4_indirect
56,VEGFA,gata4_indirect
57,MID1IP1,gata4_indirect
58,ZNF248,gata4_indirect
59,CDON,gata4_indirect
60,LDLR,gata4_indirect
61,ZNF37A,gata4_indirect
62,CHPF,gata4_indirect
63,AL137145.2,gata4_indirect
64,ANKRD18A,gata4_indirect
65,EPHA4,gata4_indirect
66,PTPN1,gata4_indirect
67,RPS25,gata4_indirect
68,UXS1,gata4_indirect
69,TAGLN,gata4_indirect
70,JAK1,gata4_indirect
71,PDHB,gata4_indirect
72,GPR116,gata4_indirect
73,VEGFC,gata4_indirect
74,KIAA1462,gata4_indirect
75,JARID2,gata4_indirect
76,CEP170,gata4_indirect
77,FGFR2,gata4_indirect
78,TP53INP2,gata4_indirect
79,NEDD4,gata4_indirect
80,SMOC2,gata4_indirect
81,CENPE,gata4_indirect
82,SERPINH1,gata4_indirect
83,TNNI3,gata4_indirect
84,MAT2A,gata4_indirect
85,KCTD15,gata4_indirect
86,RNF115,gata4_indirect
87,FAM13A,gata4_indirect
88,SPRY2,gata4_indirect
89,MACF1,gata4_indirect
90,TRHDE,gata4_indirect
91,FZD2,gata4_indirect
92,PRELP,gata4_indirect
93,LIPE,gata4_indirect
94,SLC7A1,gata4_indirect
95,LMCD1,gata4_indirect
96,HSPB8,gata4_indirect
97,SOCS3,gata4_indirect
98,WDR5B,gata4_indirect
99,SLC3A2,gata4_indirect
100,FAM162A,gata4_indirect
101,IRX4,gata4_indirect
102,FXYD6,gata4_indirect
103,CDH8,gata4_indirect
104,EBNA1BP2,gata4_indirect
105,E2F8,gata4_indirect
106,SV2A,gata4_indirect
107,ARF4,gata4_indirect
108,EYA1,gata4_indirect
109,AC087465.1,gata4_indirect
110,RPS8,gata4_indirect
111,COL15A1,gata4_indirect
112,TNFRSF11B,gata4_indirect
113,HAX1,gata4_indirect
114,CYorf15B,gata4_indirect
115,RAB15,gata4_indirect
116,GYG1,gata4_indirect
117,CA8,gata4_indirect
118,RP11-553A10.1,gata4_indirect
119,PVRL2,gata4_indirect
120,CPNE5,gata4_indirect
121,41702,gata4_indirect
122,GREM1,gata4_indirect
123,NRCAM,gata4_indirect
124,LMO2,gata4_indirect
125,SFPQ,gata4_indirect
126,DSTN,gata4_indirect
127,ATM,gata4_indirect
128,ZNF558,gata4_indirect
129,HPN,gata4_indirect
130,ENO2,gata4_indirect
131,RRAD,gata4_indirect
132,MLL2,gata4_indirect
133,BNIP3L,gata4_indirect
134,SLC7A3,gata4_indirect
135,ID2,gata4_indirect
136,C3orf52,gata4_indirect
137,BBS5,gata4_indirect
138,RASD1,gata4_indirect
139,CD93,gata4_indirect
140,CLEC2A,gata4_indirect
141,CRYZ,gata4_indirect
142,EPHX2,gata4_indirect
143,COL13A1,gata4_indirect
144,TES,gata4_indirect
145,UCHL1,gata4_indirect
146,PCOLCE,gata4_indirect
147,MGST1,gata4_indirect
148,SLC1A5,gata4_indirect
149,OSTN,gata4_indirect
150,RP4-788L13.1,gata4_indirect
151,SCN9A,gata4_indirect
152,SLC35F1,gata4_indirect
153,FGF7,gata4_indirect
154,ATP10D,gata4_indirect
155,FNDC5,gata4_indirect
156,SYTL5,gata4_indirect
157,MYO1D,gata4_indirect
158,BASP1,gata4_indirect
159,ADM2,gata4_indirect
160,PLS3,gata4_indirect
161,CD34,gata4_indirect
162,ACCN2,gata4_indirect
163,HOMER1,gata4_indirect
164,COL1A1,gata4_indirect
165,C16orf57,gata4_indirect
166,BTBD11,gata4_indirect
167,MAGI1,gata4_indirect
168,PPIA,gata4_indirect
169,TMEM55A,gata4_indirect
170,ITGB8,gata4_indirect
171,CBL,gata4_indirect
172,DOCK5,gata4_indirect
173,PTPRU,gata4_indirect
174,CSPG4,gata4_indirect
175,CALU,gata4_indirect
176,NHP2L1,gata4_indirect
177,TFRC,gata4_indirect
178,MRAS,gata4_indirect
179,GOLGA4,gata4_indirect
180,RPS4Y1,gata4_indirect
181,BAK1,gata4_indirect
182,PLAT,gata4_indirect
183,SAT1,gata4_indirect
184,EFEMP1,gata4_indirect
185,C8orf4,gata4_indirect
186,PCSK7,gata4_indirect
187,PROM1,gata4_indirect
188,EFHD2,gata4_indirect
189,SERPINE2,gata4_indirect
190,TPM2,gata4_indirect
191,CDH3,gata4_indirect
192,DFNB59,gata4_indirect
193,ODZ1,gata4_indirect
194,ALX1,gata4_indirect
195,RBFOX1,gata4_indirect
196,BAI2,gata4_indirect
197,TIMP1,gata4_indirect
198,ACSL4,gata4_indirect
199,MAGED2,gata4_indirect
200,IGFBP3,gata4_indirect
201,MAGT1,gata4_indirect
202,CLCN5,gata4_indirect
203,CCDC85A,gata4_indirect
204,C3orf58,gata4_indirect
205,TGFBI,gata4_indirect
206,ALDH1B1,gata4_indirect
207,BST2,gata4_indirect
208,SLC9A3R1,gata4_indirect
209,KNDC1,gata4_indirect
210,ABHD2,gata4_indirect
211,TFPI,gata4_indirect
212,IFIT5,gata4_indirect
213,CNN3,gata4_indirect
214,S100A10,gata4_indirect
215,ARHGEF2,gata4_indirect
216,TMEM45A,gata4_indirect
217,NKD1,gata4_indirect
218,BBS2,gata4_indirect
219,COL3A1,gata4_indirect
220,CCL21,gata4_indirect
221,INA,gata4_indirect
222,SLIT2,gata4_indirect
223,GOLGA8A,gata4_indirect
224,ABCA3,gata4_indirect
225,DOCK11,gata4_indirect
226,PTPRB,gata4_indirect
227,GNAO1,gata4_indirect
228,GGT7,gata4_indirect
229,FHAD1,gata4_indirect
230,ASNS,gata4_indirect
231,IRX2,gata4_indirect
232,CD59,gata4_indirect
233,ACLY,gata4_indirect
234,GDF6,gata4_indirect
235,IGF2R,gata4_indirect
236,KIAA1161,gata4_indirect
237,CPXM1,gata4_indirect
238,CASK,gata4_indirect
239,CAPN3,gata4_indirect
240,PRKCDBP,gata4_indirect
241,ENPEP,gata4_indirect
242,HIST2H2BE,gata4_indirect
243,TRAF5,gata4_indirect
244,AL137145.1,gata4_indirect
245,PITPNM1,gata4_indirect
246,AC013461.1,gata4_indirect
247,CTNNA3,gata4_indirect
248,AL591845.1,gata4_indirect
249,GRIA1,gata4_indirect
250,CAV1,gata4_indirect
251,TUBA1A,gata4_indirect
252,NPM1,gata4_indirect
253,AMOTL2,gata4_indirect
254,DRD1,gata4_indirect
255,LPCAT4,gata4_indirect
256,CNTNAP2,gata4_indirect
257,SLC39A10,gata4_indirect
258,CPS1,gata4_indirect
259,SERPINB8,gata4_indirect
260,CHCHD2,gata4_indirect
261,PRRG1,gata4_indirect
262,WDR54,gata4_indirect
263,ANXA5,gata4_indirect
264,DECR1,gata4_indirect
265,LIPG,gata4_indirect
266,LPL,gata4_indirect
267,CDK2AP2,gata4_indirect
268,ACAN,gata4_indirect
269,APOB,gata4_indirect
270,PDGFRA,gata4_indirect
271,LONRF2,gata4_indirect
272,DMPK,gata4_indirect
273,COL23A1,gata4_indirect
274,RIMKLA,gata4_indirect
275,GABRB2,gata4_indirect
276,EIF5A2,gata4_indirect
277,SCIN,gata4_indirect
278,AC069154.2,gata4_indirect
279,FSTL3,gata4_indirect
280,XBP1,gata4_indirect
281,PLVAP,gata4_indirect
282,CDKN2B,gata4_indirect
283,EIF2AK3,gata4_indirect
284,SPRY4,gata4_indirect
285,ROCK1,gata4_indirect
286,C3orf15,gata4_indirect
287,NOTCH2,gata4_indirect
288,ADCY2,gata4_indirect
289,GJB2,gata4_indirect
290,C2orf74,gata4_indirect
291,SLCO5A1,gata4_indirect
292,EN2,gata4_indirect
293,GAS2L3,gata4_indirect
294,LUM,gata4_indirect
295,NFKBIZ,gata4_indirect
296,ZNF559,gata4_indirect
297,CCL2,gata4_indirect
298,C20orf200,gata4_indirect
299,PPP3CC,gata4_indirect
300,LARP6,gata4_indirect
301,TNFAIP1,gata4_indirect
302,RPL17,gata4_indirect
303,PITPNA,gata4_indirect
304,EPAS1,gata4_indirect
305,COLEC12,gata4_indirect
306,TMSB10,gata4_indirect
307,GPR50,gata4_indirect
308,CDKN1A,gata4_indirect
309,CIT,gata4_indirect
310,GADD45G,gata4_indirect
311,UBE2L6,gata4_indirect
312,RSPO3,gata4_indirect
313,EDN1,gata4_indirect
314,ANKRD44,gata4_indirect
315,TXNDC9,gata4_indirect
316,KIAA1409,gata4_indirect
317,NUAK2,gata4_indirect
318,KCTD20,gata4_indirect
319,ANKRD52,gata4_indirect
320,TCAP,gata4_indirect
321,CYSLTR2,gata4_indirect
322,RHOC,gata4_indirect
323,ITGB1BP2,gata4_indirect
324,TMSB4X,gata4_indirect
325,ATP1B4,gata4_indirect
326,C13orf36,gata4_indirect
327,RPL22,gata4_indirect
328,F2RL1,gata4_indirect
329,MFAP2,gata4_indirect
330,CCND1,gata4_indirect
331,MRPS11,gata4_indirect
332,STRA6,gata4_indirect
333,PLD3,gata4_indirect
334,FREM2,gata4_indirect
335,PLEKHA2,gata4_indirect
336,ALKBH5,gata4_indirect
337,RPS3,gata4_indirect
338,NAV3,gata4_indirect
339,DNAH5,gata4_indirect
340,SHISA2,gata4_indirect
341,OSBPL10,gata4_indirect
342,HOOK1,gata4_indirect
343,FGF11,gata4_indirect
344,ATP1A3,gata4_indirect
345,EFNB3,gata4_indirect
346,TRPM3,gata4_indirect
347,PKHD1L1,gata4_indirect
348,IGFBP5,gata4_indirect
349,CALCRL,gata4_indirect
350,RAB2A,gata4_indirect
351,UBE4B,gata4_indirect
352,NETO1,gata4_indirect
353,MYLK,gata4_indirect
354,PPM1E,gata4_indirect
355,CACNA1G,gata4_indirect
356,PTGS2,gata4_indirect
357,HSPA2,gata4_indirect
358,ILDR2,gata4_indirect
359,ADRB2,gata4_indirect
360,CORO6,gata4_indirect
361,KIFC3,gata4_indirect
362,REXO2,gata4_indirect
363,KAT2A,gata4_indirect
364,FAM129A,gata4_indirect
365,CADPS2,gata4_indirect
366,XYLT1,gata4_indirect
367,DES,gata4_indirect
368,PGK1,gata4_indirect
369,CHST3,gata4_indirect
370,TPD52L2,gata4_indirect
371,LYZL4,gata4_indirect
372,SNAI2,gata4_indirect
373,GNG5,gata4_indirect
374,RABAC1,gata4_indirect
375,PVRL1,gata4_indirect
376,RICTOR,gata4_indirect
377,SPTLC3,gata4_indirect
378,KCNS3,gata4_indirect
379,SLC7A8,gata4_indirect
380,PTPRQ,gata4_indirect
381,PLEC,gata4_indirect
382,MGP,gata4_indirect
383,AXL,gata4_indirect
384,GNL3L,gata4_indirect
385,TRH,gata4_indirect
386,SP4,gata4_indirect
387,SCUBE3,gata4_indirect
388,ANXA2,gata4_indirect
389,SARS,gata4_indirect
390,TRIB3,gata4_indirect
391,LRRN3,gata4_indirect
392,ZIC5,gata4_indirect
393,CEP250,gata4_indirect
394,ARHGDIB,gata4_indirect
395,OSR1,gata4_indirect
396,PCDHB5,gata4_indirect
397,LTA4H,gata4_indirect
398,SORL1,gata4_indirect
399,TMEM88,gata4_indirect
400,ACADL,gata4_indirect
401,FOXF1,gata4_indirect
402,SLN,gata4_indirect
403,PCDH18,gata4_indirect
404,CRMP1,gata4_indirect
405,ACTN4,gata4_indirect
406,LRRTM4,gata4_indirect
407,MYCN,gata4_indirect
408,DGKA,gata4_indirect
409,GPR171,gata4_indirect
410,PCSK6,gata4_indirect
411,SRSF2,gata4_indirect
412,TNFRSF1A,gata4_indirect
413,FGF9,gata4_indirect
414,SOX9,gata4_indirect
415,RPN2,gata4_indirect
416,RORA,gata4_indirect
417,TMEM176B,gata4_indirect
418,MDM1,gata4_indirect
419,ALDOA,gata4_indirect
420,CLEC16A,gata4_indirect
421,ADAMTSL5,gata4_indirect
422,PREX2,gata4_indirect
423,SLC47A1,gata4_indirect
424,HSPA12A,gata4_indirect
425,SBDS,gata4_indirect
426,ITGA5,gata4_indirect
427,ACSL1,gata4_indirect
